"drw_no";"drwt_no1";"drwt_no2";"drwt_no3";"drwt_no4";"drwt_no5";"drwt_no6";"bnus_no";"win_1_money";"win_1_count";"win_2_money";"win_2_count"
1197;1;5;7;26;28;43;30;2205089827;13;64563441;74
1198;26;30;33;38;39;41;21;2953686638;10;63112963;78
1199;16;24;25;30;31;32;7;1695609839;17;64056372;75
1200;1;2;4;16;20;32;45;2357299875;12;58932497;80
1201;7;9;24;27;35;36;37;1414555718;19;53326506;84
1202;5;12;21;33;37;40;7;1920410813;14;41109712;109
1203;3;6;18;29;35;39;24;1368060733;21;40578073;118
1204;8;16;28;30;31;44;27;1661007688;18;52452875;95
1205;1;4;16;23;31;41;2;3226386263;10;55436191;97
1206;1;3;17;26;27;42;23;1868807000;15;63135372;74
1207;10;22;24;27;38;45;11;1733202949;17;57101648;86
1208;6;27;30;36;38;42;25;5001713625;6;73554613;68
1209;2;17;20;35;37;39;24;1371910466;22;68908745;73
1210;1;7;9;17;27;38;31;1102298407;24;28818259;153
1211;23;26;27;35;38;40;10;2370956036;14;64328265;86
1212;5;8;25;31;41;44;45;2654089032;12;67192128;79
1213;5;11;25;27;36;38;2;1740011646;18;47454864;110
1214;10;15;19;27;30;33;14;2431577188;12;49122772;99
1215;13;15;19;21;44;45;39;1998542133;16;70124286;76
1216;3;10;14;15;23;24;25;2148654000;14;57626736;87
1217;8;10;15;20;29;31;41;2179738018;14;59835946;85
1218;3;28;31;32;42;45;25;1714482042;18;64293077;80
